split,Method,restart_probability_c,temperature,runtime_seconds,MAE,RMSE,Rating_Rows,Missing_Predictions,Fallback_Predictions,Cold_User_Rows,Cold_Item_Rows,Ranking_Eligible_Users,Precision@5,Recall@5,NDCG@5,HitRate@5,Precision@10,Recall@10,NDCG@10,HitRate@10,degenerate_minmax_users_all,degenerate_minmax_users_evaluated,rating_rows_using_degenerate_3,shared_evaluator_fallback_rows,mean_iterations,max_iterations,unconverged_users
validation,RWR_Softmax,0.1,0.8,3.180805118754506,1.9995335567501105,2.3851950553184045,600.0,0.0,0.0,0.0,0.0,170.0,0.1811764705882353,0.753921568627451,0.562868590031327,0.8,0.10588235294117647,0.8794117647058823,0.6061621478345766,0.9117647058823529,0,0,0,0,158.0,158,0
validation,RWR_Softmax,0.2,0.8,2.3748317286372185,2.0219659748492433,2.403985844294586,600.0,0.0,0.0,0.0,0.0,170.0,0.19058823529411764,0.7970588235294118,0.5841350333129037,0.8411764705882353,0.10941176470588236,0.9009803921568627,0.6205252930655399,0.9294117647058824,0,0,0,0,75.0,75,0
validation,RWR_Softmax,0.3,0.8,2.201830008998513,2.034994718087001,2.4153639128285285,600.0,0.0,0.0,0.0,0.0,170.0,0.19176470588235292,0.7950980392156862,0.5825885501990842,0.8352941176470589,0.11058823529411765,0.9098039215686274,0.6232167969403948,0.9352941176470588,0,0,0,0,47.0,47,0
validation,RWR_Softmax,0.35,0.8,2.0270129833370447,2.0400593632355246,2.419872467955671,600.0,0.0,0.0,0.0,0.0,170.0,0.19058823529411764,0.7852941176470588,0.5863208970576693,0.8235294117647058,0.11117647058823528,0.9156862745098039,0.6320445099245385,0.9411764705882353,0,0,0,0,39.0,39,0
validation,RWR_Softmax,0.4,0.8,1.9943285509943962,2.044632991014773,2.424084290853895,600.0,0.0,0.0,0.0,0.0,170.0,0.18823529411764706,0.7705882352941177,0.5814845442416898,0.8058823529411765,0.11058823529411765,0.9098039215686274,0.6298784039782069,0.9352941176470588,0,0,0,0,33.0,33,0
validation,RWR_Softmax,0.5,0.8,1.92042550817132,2.052871158390314,2.431940936292676,600.0,0.0,0.0,0.0,0.0,170.0,0.19058823529411764,0.7823529411764706,0.5916931405943276,0.8176470588235294,0.11058823529411765,0.9098039215686274,0.6335535349528894,0.9352941176470588,0,0,0,0,24.87391304347826,25,0
validation,RWR_Softmax,0.6,0.8,1.8518725000321865,2.059989435327003,2.4388412797672534,600.0,0.0,0.0,0.0,0.0,170.0,0.19176470588235292,0.784313725490196,0.5949233616647427,0.8235294117647058,0.10647058823529412,0.8686274509803921,0.6236712962702892,0.8941176470588236,0,0,0,0,19.0,19,0
validation,RWR_Softmax,0.7,0.8,1.7943192534148693,2.0641888891859352,2.4426533450976375,600.0,0.0,0.0,0.0,0.0,170.0,0.19294117647058823,0.7872549019607842,0.6011613777124705,0.8235294117647058,0.10647058823529412,0.8686274509803921,0.6287757979132655,0.8941176470588236,0,0,0,0,14.0,14,0
validation,RWR_Softmax,0.1,1.0,3.163063980638981,2.0064292031090787,2.3932248659859328,600.0,0.0,0.0,0.0,0.0,170.0,0.1811764705882353,0.7568627450980392,0.5640698791855897,0.8058823529411765,0.10588235294117647,0.8794117647058823,0.6069429752006323,0.9117647058823529,0,0,0,0,157.0,157,0
validation,RWR_Softmax,0.2,1.0,2.3892565350979567,2.0305771020264793,2.4138759986661085,600.0,0.0,0.0,0.0,0.0,170.0,0.19529411764705884,0.8176470588235294,0.6078567810263742,0.8588235294117647,0.10941176470588236,0.9039215686274509,0.6383977029689675,0.9294117647058824,0,0,0,0,75.0,75,0
validation,RWR_Softmax,0.3,1.0,2.102420361712575,2.0455702227959893,2.427399012852325,600.0,0.0,0.0,0.0,0.0,170.0,0.19647058823529412,0.8166666666666665,0.6089305822325977,0.8529411764705882,0.11117647058823531,0.9156862745098039,0.6438794576047429,0.9411764705882353,0,0,0,0,47.0,47,0
validation,RWR_Softmax,0.35,1.0,2.0294304341077805,2.0510393319943576,2.4324969193458745,600.0,0.0,0.0,0.0,0.0,170.0,0.19411764705882353,0.8049019607843136,0.5959256803188689,0.8411764705882353,0.11117647058823531,0.9156862745098039,0.635011379799141,0.9411764705882353,0,0,0,0,39.0,39,0
validation,RWR_Softmax,0.4,1.0,2.0062002930790186,2.0558143240347433,2.4369567843417284,600.0,0.0,0.0,0.0,0.0,170.0,0.19882352941176468,0.8205882352941176,0.6084248802779615,0.8588235294117647,0.11117647058823531,0.9156862745098039,0.6416855599721132,0.9411764705882353,0,0,0,0,33.0,33,0
validation,RWR_Softmax,0.5,1.0,1.909112712368369,2.064447105149372,2.4450539283252257,600.0,0.0,0.0,0.0,0.0,170.0,0.20117647058823532,0.8323529411764706,0.6134509709542216,0.8705882352941177,0.1123529411764706,0.9215686274509803,0.6442342165907937,0.9411764705882353,0,0,0,0,24.46086956521739,25,0
validation,RWR_Softmax,0.6,1.0,1.8508771061897278,2.0722947933153586,2.4526521289051173,600.0,0.0,0.0,0.0,0.0,170.0,0.2035294117647059,0.8372549019607842,0.6190979766510128,0.8705882352941177,0.11294117647058823,0.9274509803921568,0.649184479584017,0.9470588235294117,0,0,0,0,19.0,19,0
validation,RWR_Softmax,0.7,1.0,1.7983705066144466,2.078598125714034,2.4586985791181366,600.0,0.0,0.0,0.0,0.0,170.0,0.20470588235294115,0.8392156862745097,0.6262145912203206,0.8705882352941177,0.11294117647058823,0.9274509803921568,0.6551770306612166,0.9470588235294117,0,0,0,0,14.0,14,0
validation,RWR_Softmax,0.1,1.5,3.1795035414397717,2.0191875647836524,2.4083144988465763,600.0,0.0,0.0,0.0,0.0,170.0,0.1811764705882353,0.7588235294117647,0.5627092819020598,0.8117647058823529,0.10941176470588236,0.9029411764705882,0.6135769904349297,0.9294117647058824,0,0,0,0,157.0,157,0
validation,RWR_Softmax,0.2,1.5,2.3793927058577538,2.0442820738014067,2.4305572719717268,600.0,0.0,0.0,0.0,0.0,170.0,0.2,0.8313725490196078,0.6134136465265045,0.8647058823529412,0.11,0.9049019607843136,0.6394696717107167,0.9294117647058824,0,0,0,0,74.49347826086957,75,0
validation,RWR_Softmax,0.3,1.5,2.113860370591283,2.0600879176609954,2.4445510365850747,600.0,0.0,0.0,0.0,0.0,170.0,0.2035294117647059,0.8460784313725489,0.6221870799094779,0.8764705882352941,0.11176470588235295,0.9225490196078431,0.648715475744356,0.9470588235294117,0,0,0,0,47.0,47,0
validation,RWR_Softmax,0.35,1.5,2.0252123419195414,2.066301808344368,2.4502832239068524,600.0,0.0,0.0,0.0,0.0,170.0,0.2070588235294118,0.8598039215686274,0.6326041908058687,0.8941176470588236,0.11176470588235295,0.9225490196078431,0.653958617057322,0.9470588235294117,0,0,0,0,39.0,39,0
