Student_ID,Course_ID,Actual,Predicted,Error
40211137,40BC011,3.0,3.903,0.903
40311120,40BA021,1.0,3.6728,2.6728
40511107,40BA051,5.0,4.6787,0.3213
40311217,40BD032,2.0,3.3817,1.3817
40311215,40B0292,2.0,4.625,2.625
40311155,40BQ031,1.0,2.8591,1.8591
40211201,40BR032,3.0,2.7855,0.2145
40211134,40BQ401,4.0,2.6729,1.3271
40211208,40BA092,1.0,2.8433,1.8433
40211247,40BR032,4.0,2.7847,1.2153
40311238,40BA122,3.0,3.2661,0.2661
40211109,40BQ141,2.0,3.1003,1.1003
40211130,40BA081,1.0,4.0232,3.0232
40311158,40BC071,5.0,3.1276,1.8724
40211226,40BD032,4.0,3.3814,0.6186
40211266,40BA081,2.0,3.736,1.736
40311233,40B0292,3.0,4.6251,1.6251
40311136,40BA011,1.0,5.0,4.0
40311132,40BA121,1.0,3.3695,2.3695
40211133,40BC011,2.0,3.9027,1.9027
40211236,40BD012,1.0,3.7774,2.7774
40311210,40BA222,3.0,3.0894,0.0894
40211117,40BQ141,2.0,3.0773,1.0773
40311261,40BD032,3.0,3.382,0.382
40211225,40B9561,4.0,2.1609,1.8391
40211228,40BA132,3.0,3.2553,0.2553
40211158,40BA011,4.0,5.0,1.0
40211154,40BA091,1.0,2.9031,1.9031
40211137,40BA061,1.0,3.8552,2.8552
40211209,40BD032,2.0,3.3813,1.3813
40411227,40BA222,3.0,3.0898,0.0898
40311235,40BA222,1.0,3.0893,2.0893
40211141,40BC061,4.0,2.9866,1.0134
40211261,40BR072,5.0,3.285,1.715
40211114,40BA011,1.0,5.0,4.0
40411126,40BA081,4.0,3.7681,0.2319
40211229,40BA012,2.0,4.9605,2.9605
40311122,40BA081,4.0,3.7664,0.2336
40311109,40BA021,1.0,3.6439,2.6439
40411205,40BD012,4.0,3.7763,0.2237
40327247,40BC071,2.0,3.1049,1.1049
40311238,40B0292,2.0,4.6246,2.6246
40311238,40B8932,3.0,2.0953,0.9047
40411158,40BA051,2.0,4.6379,2.6379
40311243,40BA052,4.0,4.5785,0.5785
40411211,40BA222,2.0,3.0901,1.0901
40511226,40BA012,4.0,4.9022,0.9022
40411255,40BA222,4.0,3.0896,0.9104
40411212,40BD012,3.0,3.7765,0.7765
40211202,40B9651,4.0,2.1812,1.8188
40311243,40BD012,4.0,3.7758,0.2242
40211112,40KT142,5.0,1.7225,3.2775
40311204,40BA132,4.0,3.2565,0.7435
40211224,40BD012,3.0,3.7745,0.7745
40211113,40BA091,1.0,2.9239,1.9239
40411156,40BA021,4.0,3.6438,0.3562
40311153,40BA021,5.0,3.6729,1.3271
40211266,40BR022,2.0,3.0727,1.0727
40411219,40BA082,5.0,3.7456,1.2544
40311223,40BA122,3.0,3.2659,0.2659
40211116,40BQ051,4.0,2.8411,1.1589
40211246,40BR122,5.0,2.9325,2.0675
40311158,40BQ341,3.0,2.136,0.864
40411201,40BA062,3.0,3.8338,0.8338
40211126,40IN672,5.0,1.8402,3.1598
40211249,40B0292,4.0,4.6228,0.6228
40311108,40BC011,2.0,3.9034,1.9034
40411156,40BA011,5.0,5.0,0.0
40411244,40BR472,1.0,2.5082,1.5082
40211103,40UN050,1.0,1.7641,0.7641
40411242,40BA102,4.0,3.5991,0.4009
40411202,40BA052,4.0,4.58,0.58
