model,seed,MAE,RMSE,Rating_Rows,Missing_Predictions,Fallback_Predictions,Cold_User_Rows,Cold_Item_Rows,Ranking_Eligible_Users,Precision@5,Recall@5,NDCG@5,HitRate@5,Precision@10,Recall@10,NDCG@10,HitRate@10,runtime_seconds,train_ratings,train_users,train_items,train_cold_start_users_vs_train,train_cold_start_items_vs_train,validation_ratings,validation_users,validation_items,validation_cold_start_users_vs_train,validation_cold_start_items_vs_train,test_ratings,test_users,test_items,test_cold_start_users_vs_train,test_cold_start_items_vs_train
LightGCN_Ranking,2026,1.0266200544838118,1.3565116458111566,599,0,0,0,0,179,0.17430167597765361,0.7635009310986964,0.5780792844005709,0.7988826815642458,0.10782122905027933,0.8957169459962755,0.625017503653798,0.9273743016759777,1.2760508600622416,4845,460,151,0,0,600,458,87,0,0,599,458,92,0,0
Vanilla_GCN,2026,1.6363832361511077,2.0132285473145526,599,0,0,0,0,179,0.088268156424581,0.4087523277467411,0.2663058103288958,0.441340782122905,0.06033519553072625,0.5493482309124766,0.3122945838479999,0.6033519553072626,0.9810050167143345,4845,460,151,0,0,600,458,87,0,0,599,458,92,0,0
MF,3407,0.8245114704106478,1.010578457656757,596,0,0,0,0,183,0.07540983606557378,0.30510018214936246,0.23574467281998054,0.3551912568306011,0.049726775956284164,0.39162112932604737,0.26674047699409054,0.4371584699453552,1.0600732881575823,4853,460,151,0,0,595,457,81,0,0,596,456,91,0,0
LightGCN_RMSE,3407,0.8565959506386879,1.1668586769934426,596,0,0,0,0,183,0.1366120218579235,0.6247723132969034,0.4691485542569889,0.6666666666666666,0.08415300546448087,0.7459016393442623,0.5111239188895494,0.7978142076502732,1.0774962566792965,4853,460,151,0,0,595,457,81,0,0,596,456,91,0,0
LightGCN_Ranking,3407,1.0474711932591945,1.361582561548581,596,0,0,0,0,183,0.15409836065573773,0.6602914389799636,0.5278760667755897,0.7049180327868853,0.10218579234972677,0.8779599271402551,0.6025948549684069,0.907103825136612,1.1416681297123432,4853,460,151,0,0,595,457,81,0,0,596,456,91,0,0
Vanilla_GCN,3407,1.5995392265335826,1.9297728001624777,596,0,0,0,0,183,0.07431693989071039,0.36065573770491804,0.17614303364786024,0.37158469945355194,0.05573770491803278,0.51183970856102,0.22613193889445846,0.5519125683060109,1.0177422314882278,4853,460,151,0,0,595,457,81,0,0,596,456,91,0,0
MF,7777,0.7963018343846003,0.9855465686006619,600,0,0,0,0,172,0.06627906976744186,0.2635658914728682,0.21361674443353904,0.3023255813953488,0.04825581395348837,0.376937984496124,0.2526846418455911,0.4186046511627907,1.1564604882150888,4845,460,151,0,0,599,458,84,0,0,600,458,86,0,0
LightGCN_RMSE,7777,0.8731928366422653,1.2000910584965654,600,0,0,0,0,172,0.1313953488372093,0.5901162790697675,0.46553038983213196,0.622093023255814,0.07790697674418606,0.6802325581395349,0.49685203575751236,0.7209302325581395,1.0456217397004366,4845,460,151,0,0,599,458,84,0,0,600,458,86,0,0
LightGCN_Ranking,7777,1.03581780731678,1.363217647004784,600,0,0,0,0,172,0.1825581395348837,0.811046511627907,0.6213430057505019,0.8604651162790697,0.10348837209302326,0.8943798449612402,0.6512134426620938,0.9302325581395349,1.1857242975383997,4845,460,151,0,0,599,458,84,0,0,600,458,86,0,0
Vanilla_GCN,7777,1.6469151870409648,2.0266358809937093,600,0,0,0,0,172,0.11395348837209303,0.5261627906976745,0.3879698689594202,0.563953488372093,0.07151162790697675,0.6356589147286822,0.42509098104044607,0.6976744186046512,1.0198097936809063,4845,460,151,0,0,599,458,84,0,0,600,458,86,0,0
