model,seed,train_interaction_bucket,users,rating_rows,ranking_eligible_users,MAE,RMSE,Recall@5,NDCG@5,HitRate@5
LightGCN_Ranking,123,>20,87,195,54,0.969307096187885,1.256576801594678,0.4753086419753086,0.3559537668087133,0.5925925925925926
Vanilla_GCN,123,1-5,171,171,56,1.9767579858066047,2.3876841145878474,0.9464285714285714,0.5388454745930054,0.9464285714285714
Vanilla_GCN,123,6-10,92,92,23,1.8033288406289143,2.100329840565369,0.43478260869565216,0.28029036704684634,0.43478260869565216
Vanilla_GCN,123,11-20,106,139,45,1.4462653844476603,1.7975248257945227,0.17777777777777778,0.10106309261257593,0.2
Vanilla_GCN,123,>20,87,195,54,1.3004878881650093,1.587383702543634,0.14506172839506173,0.0749601586419468,0.25925925925925924
MF,2026,1-5,172,172,53,1.062356218349102,1.2225526268657188,0.1509433962264151,0.10466813639505974,0.1509433962264151
MF,2026,6-10,93,93,23,0.7662329712221699,0.975849127949932,0.34782608695652173,0.25051563074534416,0.34782608695652173
MF,2026,11-20,106,140,41,0.8014095255306789,0.9741193174350755,0.25609756097560976,0.2026287393437584,0.2926829268292683
MF,2026,>20,87,194,62,0.6030783942065288,0.7691635348285178,0.34139784946236557,0.2715608499774902,0.43548387096774194
LightGCN_RMSE,2026,1-5,172,172,53,1.1073908251385356,1.581142203653695,0.5471698113207547,0.4025194575341889,0.5471698113207547
LightGCN_RMSE,2026,6-10,93,93,23,0.7534110007747528,0.9867330597934284,0.9130434782608695,0.6941070001253682,0.9130434782608695
LightGCN_RMSE,2026,11-20,106,140,41,0.8081355673926217,0.9893115392362718,0.7926829268292683,0.4688164686083066,0.8292682926829268
LightGCN_RMSE,2026,>20,87,194,62,0.6787094387811484,0.881054818993644,0.3333333333333333,0.22319550764440785,0.46774193548387094
LightGCN_Ranking,2026,1-5,172,172,53,1.2782359705414883,1.7585301741115675,0.8867924528301887,0.6732852939789584,0.8867924528301887
LightGCN_Ranking,2026,6-10,93,93,23,0.9506954531515798,1.1905806458641948,0.9565217391304348,0.7031491882027516,0.9565217391304348
LightGCN_Ranking,2026,11-20,106,140,41,0.9087983991418566,1.0864791876071767,0.9512195121951219,0.7030443633476985,0.9512195121951219
LightGCN_Ranking,2026,>20,87,194,62,0.9249606839160329,1.1868034431569299,0.46236559139784944,0.3676584048532011,0.5645161290322581
Vanilla_GCN,2026,1-5,172,172,53,2.1363303321738574,2.545003850367288,0.8679245283018868,0.5892440398607766,0.8679245283018868
Vanilla_GCN,2026,6-10,93,93,23,1.7556678915536532,2.021582827514741,0.34782608695652173,0.24500255350503777,0.34782608695652173
Vanilla_GCN,2026,11-20,106,140,41,1.3110332012176513,1.700869650602588,0.2804878048780488,0.15892687175257658,0.3170731707317073
Vanilla_GCN,2026,>20,87,194,62,1.3707370063693254,1.6507770079400885,0.12365591397849461,0.06915718489967215,0.1935483870967742
MF,3407,1-5,171,171,48,1.0700204804626823,1.2262053551892855,0.1875,0.1567441461309548,0.1875
MF,3407,6-10,93,93,26,0.7584324011238672,0.9373059407274438,0.38461538461538464,0.30135815100438207,0.38461538461538464
MF,3407,11-20,105,138,52,0.7722678322722947,0.9594321098911667,0.36538461538461536,0.29284809974669823,0.38461538461538464
MF,3407,>20,87,194,57,0.6769492785955212,0.8580404646578682,0.31286549707602335,0.22024812278646275,0.45614035087719296
LightGCN_RMSE,3407,1-5,171,171,48,1.1968875607551888,1.6131328149867594,0.6458333333333334,0.6226427668173863,0.6458333333333334
LightGCN_RMSE,3407,6-10,93,93,26,0.7862548417942499,1.0573191582217305,0.8846153846153846,0.6320394176275339,0.8846153846153846
LightGCN_RMSE,3407,11-20,105,138,52,0.7468269778334576,0.9538072691427648,0.7692307692307693,0.508489746296857,0.7692307692307693
LightGCN_RMSE,3407,>20,87,194,57,0.668451497235249,0.8403525209780983,0.3567251461988304,0.22969896414108756,0.49122807017543857
LightGCN_Ranking,3407,1-5,171,171,48,1.303043604594225,1.7670846406009564,0.625,0.6173110365327387,0.625
LightGCN_Ranking,3407,6-10,93,93,26,0.931096439720482,1.1599680102246712,0.7692307692307693,0.5340412357858699,0.7692307692307693
LightGCN_Ranking,3407,11-20,105,138,52,0.9187620938688085,1.0981526819309724,0.8653846153846154,0.6456178169313527,0.8846153846153846
LightGCN_Ranking,3407,>20,87,194,57,0.9695424584998298,1.200112799644741,0.4532163742690059,0.3423366992192719,0.5789473684210527
Vanilla_GCN,3407,1-5,171,171,48,1.9764687945271096,2.3646727661166067,0.9375,0.4410175380239559,0.9375
Vanilla_GCN,3407,6-10,93,93,26,1.5685667966001777,1.8581083738672486,0.2692307692307692,0.13980995117753345,0.2692307692307692
Vanilla_GCN,3407,11-20,105,138,52,1.3916849226191423,1.6630095848710789,0.22115384615384615,0.11095608038632784,0.23076923076923078
Vanilla_GCN,3407,>20,87,194,57,1.429999916209388,1.6999079720758683,0.043859649122807015,0.029132603889537277,0.07017543859649122
