analysis,feature,mf_winner_n,mf_winner_mean,mf_winner_median,mf_winner_std,lightgcn_winner_n,lightgcn_winner_mean,lightgcn_winner_median,lightgcn_winner_std,cohens_d_lightgcn_minus_mf,mann_whitney_u,mann_whitney_p,spearman_rho_with_difference,spearman_p,mann_whitney_p_bh,spearman_p_bh
rating,fraction_rating_5,247,0.1333959522851029,0.0,0.2497880947106726,211,0.10334716959553884,0.0,0.2160705200695218,-0.12794210730878514,27824.5,0.15895906361893974,0.060391775568282395,0.19702067710919388,0.37090448177752605,0.42435222761980224
rating,fraction_rating_ge_4,247,0.3795987645419963,0.2727272727272727,0.36734163188104213,211,0.30055446101407746,0.2,0.3354871268044689,-0.22390313129466552,29228.0,0.022414847055910275,0.08176610641007374,0.08046105518041924,0.11368491190539047,0.28161369313146734
rating,fraction_rating_lt_4,247,0.6204012354580036,0.7272727272727273,0.36734163188104213,211,0.6994455389859227,0.8,0.3354871268044689,0.223903131294666,22889.0,0.022414847055910275,-0.08176610641007374,0.08046105518041924,0.11368491190539047,0.28161369313146734
rating,rating_entropy,247,1.1294038040784031,1.4854752972273344,0.8421396146220619,211,1.1174452789651963,1.4745541487842893,0.8280069814522333,-0.01431026119213199,26448.5,0.7792033170417267,0.009149737468970543,0.845172246908642,0.9866976128754498,0.979313422043504
rating,rating_range,247,2.0121457489878543,2.0,1.5733599833501122,211,1.995260663507109,2.0,1.5568516164170914,-0.010783823744584288,26246.0,0.8909954722097104,0.005334060032454072,0.9093624633261108,0.9866976128754498,0.979313422043504
rating,number_of_observed_ordered_pairs,247,59.19028340080972,28.0,72.31306308127031,211,63.76777251184834,27.0,76.63374927453187,0.06157997208205545,25490.5,0.6829178628558191,-0.02894314036901747,0.536676169206515,0.9866976128754498,0.8684590230645838
rating,normalized_pair_count_per_interaction,247,3.2707128436162267,2.888888888888889,3.0765617169217796,211,3.3974848265179625,3.0,3.1735399771044364,0.04061125811699004,25587.5,0.734864055628798,-0.027422605934985078,0.5582950862558038,0.9866976128754498,0.8684590230645838
rating,mean_rating_gap_across_pairs,247,1.0630653946739805,1.3529411764705883,0.7872750126026847,211,1.0573186590842103,1.3703703703703705,0.7652814777636897,-0.007393927130358717,26111.5,0.969852369899839,0.00017995858277859616,0.9969355264088824,0.9866976128754498,0.9969355264088824
rating,max_rating_gap,247,2.0121457489878543,2.0,1.5733599833501122,211,1.995260663507109,2.0,1.5568516164170914,-0.010783823744584288,26246.0,0.8909954722097104,0.005334060032454072,0.9093624633261108,0.9866976128754498,0.979313422043504
rating,fraction_gap_1_pairs,247,0.39776707621577045,0.4772727272727273,0.3254418123933408,211,0.40522392515146616,0.5,0.3284024551595966,0.022817174883640903,25796.0,0.8496861246353071,-0.013450316956199242,0.7740543302587937,0.9866976128754498,0.979313422043504
rating,fraction_gap_2plus_pairs,247,0.2823948671040676,0.30158730158730157,0.2624156023877524,211,0.2819798663177281,0.3103448275862069,0.26289603552130425,-0.0015801309174367614,26123.5,0.9625396556979038,-0.0014702510361945258,0.9749674641505631,0.9866976128754498,0.9969355264088824
rating,mean_degree_of_interacted_items,247,108.07264474113289,106.66666666666667,31.87413317525603,211,102.68129704724502,102.0,29.12880162069373,-0.17595548834990746,28722.0,0.059170268697536596,0.09964856480122096,0.03300241834145574,0.23668107479014638,0.20091024979243566
rating,median_degree_of_interacted_items,247,107.89271255060729,118.0,35.408585317079165,211,101.7132701421801,105.0,34.090104893300044,-0.17753143901031612,28543.0,0.07822221045088923,0.09536601614972691,0.04135070908433159,0.24335798806943318,0.20091024979243566
rating,min_degree_of_interacted_items,247,67.4493927125506,48.0,57.807541544212036,211,60.43601895734597,48.0,52.217944655796536,-0.1268158448550195,27784.5,0.2211165459319554,0.07147301695554759,0.12667069049474497,0.4762510220072885,0.32243448489571447
rating,max_degree_of_interacted_items,247,144.0931174089069,147.0,19.449210310592854,211,140.218009478673,137.0,19.085518265101655,-0.2009642589477004,29390.0,0.014377963978011745,0.09458451686442687,0.043052196384093355,0.11368491190539047,0.20091024979243566
rating,fraction_of_interactions_with_head_items,247,0.8126629279017528,0.8888888888888888,0.2264060515766211,211,0.796106028213328,0.8888888888888888,0.23220618185685946,-0.07227076250309811,27141.0,0.42895837582901175,0.04603047719683863,0.32564467639471883,0.7506771577007706,0.5698781836907579
rating,fraction_of_interactions_with_tail_items,247,0.006457155080636862,0.0,0.04708715956138775,211,0.008266631234437367,0.0,0.04336437394211276,0.039846958800279955,25232.0,0.151813381649919,-0.07605704679023435,0.10403494535886017,0.37090448177752605,0.32116153056966174
ranking_ndcg5,train_interaction_count,27,20.59259259259259,23.0,5.937231025546526,94,8.01063829787234,6.0,7.565477166014396,-1.7375864257391336,2267.0,1.7715321810127055e-10,-0.4987541312213216,5.809049263127839e-09,2.3130304664481188e-09,8.132668968378975e-08
ranking_ndcg5,fraction_of_catalog_observed,27,0.13637478538140788,0.152317880794702,0.039319410765208784,94,0.05305058475412146,0.039735099337748346,0.05010249778817482,-1.737586425739133,2267.0,1.7715321810127055e-10,-0.4987541312213216,5.809049263127839e-09,2.3130304664481188e-09,8.132668968378975e-08
ranking_ndcg5,mean_rating,27,3.611692742387542,3.4375,0.5930879324549058,94,3.275291266998768,3.291666666666667,1.0830489703790998,-0.33748925266478474,1517.0,0.12263977607555215,-0.31936794829721943,0.000356218548724514,0.14930059696154174,0.0005541177424603552
ranking_ndcg5,rating_std,27,0.900114833074799,0.9344858955002419,0.2646689604570458,94,0.5039393851288261,0.46483104514330786,0.5134828853417308,-0.8420459546903103,1784.0,0.001006730376984003,-0.29289451602595484,0.001113326564134705,0.0018792300370368057,0.0016106586900480149
ranking_ndcg5,rating_min,27,1.7777777777777777,1.0,1.0127393670836666,94,2.4148936170212765,2.0,1.424890672796052,0.4734591770444616,969.0,0.05104376086253423,0.05312927401773737,0.562747948684585,0.0680583478167123,0.5835904653025326
