point,family,initial_alpha,final_alpha,best_checkpoint_alpha,lambda_rank,learning_rate,maximum_epochs,best_epoch,epochs_run,pair_mode,train_rating_loss,train_ranking_loss,MAE,RMSE,Rating_Rows,Missing_Predictions,Fallback_Predictions,Cold_User_Rows,Cold_Item_Rows,Ranking_Eligible_Users,Precision@5,Recall@5,NDCG@5,HitRate@5,Precision@10,Recall@10,NDCG@10,HitRate@10
V2-global,v2_global,0.1,0.1254207044839859,0.1254207044839859,0.1,0.005,50,50,50,unweighted,0.5868533253669739,0.44258949160575867,0.8228528050581614,1.091256098337662,600,0,0,0,0,170,0.13647058823529412,0.6127450980392156,0.44505823559450397,0.6529411764705882,0.08882352941176472,0.7725490196078431,0.49983443008726514,0.8235294117647058
V2-global,v2_global,0.1,0.1586032509803772,0.1586032509803772,0.1,0.005,100,100,100,unweighted,0.565203845500946,0.42283618450164795,0.8189282590150833,1.0836622229665884,600,0,0,0,0,170,0.13529411764705881,0.6068627450980392,0.44232963477522486,0.6470588235294118,0.09117647058823529,0.7892156862745098,0.5044781285891858,0.8411764705882353
V2-global,v2_global,0.1,0.25497496128082275,0.25497496128082275,0.1,0.005,200,200,200,unweighted,0.505928099155426,0.3718551695346832,0.8085255696376165,1.0616633392557173,600,0,0,0,0,170,0.13176470588235292,0.5784313725490196,0.4292676883295361,0.6235294117647059,0.08941176470588234,0.7676470588235295,0.4939333868716048,0.8176470588235294
V2-global,v2_global,0.1,0.15741334855556488,0.15741334855556488,0.1,0.01,50,50,50,unweighted,0.5659691691398621,0.4235241413116455,0.8190664517879486,1.0839290008637399,600,0,0,0,0,170,0.13529411764705881,0.6068627450980392,0.44232963477522486,0.6470588235294118,0.09117647058823529,0.7892156862745098,0.5044781285891858,0.8411764705882353
V2-global,v2_global,0.1,0.25057870149612427,0.25057870149612427,0.1,0.01,100,100,100,unweighted,0.5085155367851257,0.3739869296550751,0.8089373723665874,1.0626395371626767,600,0,0,0,0,170,0.13176470588235292,0.5784313725490196,0.43056662214989655,0.6235294117647059,0.0888235294117647,0.7617647058823529,0.4936370479286106,0.8117647058823529
V2-global,v2_global,0.1,0.5225285887718201,0.5225285887718201,0.1,0.01,200,200,200,unweighted,0.36944231390953064,0.2704768776893616,0.7939633498589198,1.0073993116783728,600,0,0,0,0,170,0.11411764705882352,0.48823529411764705,0.3809413275995709,0.5411764705882353,0.0811764705882353,0.6735294117647059,0.4434269787868641,0.7235294117647059
V2-global,v2_global,0.1,0.6193968653678894,0.6193968653678894,0.1,0.05,50,50,50,unweighted,0.3302074074745178,0.2447115182876587,0.79313478688399,0.9913333190573311,600,0,0,0,0,170,0.10470588235294118,0.43725490196078426,0.34594962935847856,0.48823529411764705,0.07470588235294118,0.6156862745098038,0.40707984259402075,0.6647058823529411
V2-global,v2_global,0.1,0.8715382814407349,0.8024410009384155,0.1,0.05,100,72,92,unweighted,0.27084389328956604,0.20707401633262634,0.7987824952602387,0.9789606502247347,600,0,0,0,0,170,0.08470588235294117,0.34411764705882353,0.2815659511399064,0.4,0.05941176470588235,0.47549019607843135,0.32745298052360766,0.5235294117647059
V2-global,v2_global,0.1,0.8715382814407349,0.8024410009384155,0.1,0.05,200,72,92,unweighted,0.27084389328956604,0.20707401633262634,0.7987824952602387,0.9789606502247347,600,0,0,0,0,170,0.08470588235294117,0.34411764705882353,0.2815659511399064,0.4,0.05941176470588235,0.47549019607843135,0.32745298052360766,0.5235294117647059
V2-global,v2_global,0.1,0.1046106144785881,0.1046106144785881,0.25,0.001,50,50,50,unweighted,0.6007545590400696,0.4555949568748474,0.8254101282358169,1.096175153511047,600,0,0,0,0,170,0.1376470588235294,0.6186274509803921,0.4499849661441581,0.6588235294117647,0.08882352941176472,0.7745098039215685,0.5033126303395111,0.8235294117647058
V2-global,v2_global,0.1,0.10948244482278824,0.10948244482278824,0.25,0.001,100,100,100,unweighted,0.5974777340888977,0.4525066912174225,0.8248124780257543,1.0950146284683724,600,0,0,0,0,170,0.1376470588235294,0.6186274509803921,0.4480414004324763,0.6588235294117647,0.08882352941176472,0.7745098039215685,0.5012208007069875,0.8235294117647058
V2-global,v2_global,0.1,0.12009044736623764,0.12009044736623764,0.25,0.001,200,200,200,unweighted,0.5903900861740112,0.4458746016025543,0.8235053930679958,1.092505191793228,600,0,0,0,0,170,0.1388235294117647,0.6245098039215685,0.4502215588782525,0.6647058823529411,0.08941176470588236,0.7745098039215685,0.5016554889699704,0.8235294117647058
V2-global,v2_global,0.1,0.1254129707813263,0.1254129707813263,0.25,0.005,50,50,50,unweighted,0.586858332157135,0.4425942599773407,0.822853745619456,1.0912579018153965,600,0,0,0,0,170,0.13647058823529412,0.6127450980392156,0.44505823559450397,0.6529411764705882,0.08882352941176472,0.7725490196078431,0.49983443008726514,0.8235294117647058
V2-global,v2_global,0.1,0.1585415154695511,0.1585415154695511,0.25,0.005,100,100,100,unweighted,0.5652435421943665,0.4228718876838684,0.8189354262749354,1.0836760548325906,600,0,0,0,0,170,0.13529411764705881,0.6068627450980392,0.44232963477522486,0.6470588235294118,0.09117647058823529,0.7892156862745098,0.5044781285891858,0.8411764705882353
V2-global,v2_global,0.1,0.2544305920600891,0.2544305920600891,0.25,0.005,200,200,200,unweighted,0.5062479376792908,0.37211817502975464,0.8085765633980433,1.0617838683364085,600,0,0,0,0,170,0.13176470588235292,0.5784313725490196,0.4300378633505447,0.6235294117647059,0.08941176470588234,0.7676470588235295,0.4948086704605405,0.8176470588235294
V2-global,v2_global,0.1,0.15737317502498627,0.15737317502498627,0.25,0.01,50,50,50,unweighted,0.5659950971603394,0.4235473573207855,0.8190711200237274,1.0839380182164156,600,0,0,0,0,170,0.13529411764705881,0.6068627450980392,0.44232963477522486,0.6470588235294118,0.09117647058823529,0.7892156862745098,0.5044781285891858,0.8411764705882353
V2-global,v2_global,0.1,0.25016701221466064,0.25016701221466064,0.25,0.01,100,100,100,unweighted,0.5087584257125854,0.3741874396800995,0.8089759361743927,1.0627312763826027,600,0,0,0,0,170,0.13176470588235292,0.5784313725490196,0.43056662214989655,0.6235294117647059,0.0888235294117647,0.7617647058823529,0.49356666457951587,0.8117647058823529
V2-global,v2_global,0.1,0.5195876955986023,0.5195876955986023,0.25,0.01,200,200,200,unweighted,0.3707181215286255,0.2713349163532257,0.794044295946757,1.0079860507281537,600,0,0,0,0,170,0.11411764705882352,0.48823529411764705,0.3809413275995709,0.5411764705882353,0.0811764705882353,0.6735294117647059,0.44351188985228623,0.7235294117647059
V2-global,v2_global,0.1,0.6173569560050964,0.6173569560050964,0.25,0.05,50,50,50,unweighted,0.3309778571128845,0.2452072650194168,0.7931293580929438,0.9916050515324363,600,0,0,0,0,170,0.10470588235294118,0.43725490196078426,0.34594962935847856,0.48823529411764705,0.07529411764705883,0.6186274509803921,0.4081224266339269,0.6705882352941176
V2-global,v2_global,0.1,0.8719117641448975,0.8049708604812622,0.25,0.05,100,73,93,unweighted,0.2701588273048401,0.20663778483867645,0.7989382930596669,0.9789586286725969,600,0,0,0,0,170,0.08470588235294117,0.34411764705882353,0.2813081643702661,0.4,0.058823529411764705,0.4696078431372549,0.32562936450371327,0.5176470588235295
V2-global,v2_global,0.1,0.8719117641448975,0.8049708604812622,0.25,0.05,200,73,93,unweighted,0.2701588273048401,0.20663778483867645,0.7989382930596669,0.9789586286725969,600,0,0,0,0,170,0.08470588235294117,0.34411764705882353,0.2813081643702661,0.4,0.058823529411764705,0.4696078431372549,0.32562936450371327,0.5176470588235295
V2-global,v2_global,0.1,0.10461027920246124,0.10461027920246124,0.5,0.001,50,50,50,unweighted,0.6007547378540039,0.4555952250957489,0.8254101673762003,1.0961752301750871,600,0,0,0,0,170,0.1376470588235294,0.6186274509803921,0.4499849661441581,0.6588235294117647,0.08882352941176472,0.7745098039215685,0.5033126303395111,0.8235294117647058
V2-global,v2_global,0.1,0.10948051512241364,0.10948051512241364,0.5,0.001,100,100,100,unweighted,0.5974790453910828,0.452507883310318,0.8248127273718516,1.0950150926628182,600,0,0,0,0,170,0.1376470588235294,0.6186274509803921,0.4480414004324763,0.6588235294117647,0.08882352941176472,0.7745098039215685,0.5012208007069875,0.8235294117647058
V2-global,v2_global,0.1,0.12008006870746613,0.12008006870746613,0.5,0.001,200,200,200,unweighted,0.5903970003128052,0.44588103890419006,0.8235066697994868,1.0925076335355477,600,0,0,0,0,170,0.1388235294117647,0.6245098039215685,0.4502215588782525,0.6647058823529411,0.08941176470588236,0.7745098039215685,0.5016554889699704,0.8235294117647058
V2-global,v2_global,0.1,0.1254032552242279,0.1254032552242279,0.5,0.005,50,50,50,unweighted,0.5868648290634155,0.44260022044181824,0.8228549355268479,1.091260177876188,600,0,0,0,0,170,0.13647058823529412,0.6127450980392156,0.44505823559450397,0.6529411764705882,0.08882352941176472,0.7725490196078431,0.49983443008726514,0.8235294117647058
V2-global,v2_global,0.1,0.1584646999835968,0.1584646999835968,0.5,0.005,100,100,100,unweighted,0.5652929544448853,0.4229162335395813,0.8189443530639012,1.0836932614600996,600,0,0,0,0,170,0.13529411764705881,0.6068627450980392,0.44232963477522486,0.6470588235294118,0.09117647058823529,0.7892156862745098,0.5044781285891858,0.8411764705882353
V2-global,v2_global,0.1,0.25375258922576904,0.25375258922576904,0.5,0.005,200,200,200,unweighted,0.5066465139389038,0.3724461793899536,0.808640071551005,1.0619341272272906,600,0,0,0,0,170,0.13176470588235292,0.5784313725490196,0.43056662214989655,0.6235294117647059,0.0888235294117647,0.7617647058823529,0.4936370479286106,0.8117647058823529
V2-global,v2_global,0.1,0.15732327103614807,0.15732327103614807,0.5,0.01,50,50,50,unweighted,0.5660271048545837,0.4235762357711792,0.819076911409696,1.0839492064863698,600,0,0,0,0,170,0.13529411764705881,0.6068627450980392,0.44232963477522486,0.6470588235294118,0.09117647058823529,0.7892156862745098,0.5044781285891858,0.8411764705882353
V2-global,v2_global,0.1,0.24965327978134155,0.24965327978134155,0.5,0.01,100,100,100,unweighted,0.5090616345405579,0.3744378983974457,0.8090240663290024,1.062845847689548,600,0,0,0,0,170,0.13176470588235292,0.5784313725490196,0.43056662214989655,0.6235294117647059,0.0888235294117647,0.7617647058823529,0.49356666457951587,0.8117647058823529
V2-global,v2_global,0.1,0.5158529281616211,0.5158529281616211,0.5,0.01,200,200,200,unweighted,0.37234553694725037,0.27243149280548096,0.7941470905145009,1.0087393742089037,600,0,0,0,0,170,0.11411764705882352,0.48823529411764705,0.3809413275995709,0.5411764705882353,0.0811764705882353,0.6735294117647059,0.44370190948563526,0.7235294117647059
V2-global,v2_global,0.1,0.614716649055481,0.614716649055481,0.5,0.05,50,50,50,unweighted,0.3319786489009857,0.24585169553756714,0.7931223066647848,0.9919610637112732,600,0,0,0,0,170,0.1035294117647059,0.43529411764705883,0.34553093763536624,0.48823529411764705,0.07529411764705883,0.6186274509803921,0.4086446316090543,0.6705882352941176
V2-global,v2_global,0.1,0.8716375827789307,0.8065423369407654,0.5,0.05,100,74,94,unweighted,0.26973509788513184,0.2063678354024887,0.7990350764989853,0.97895975359623,600,0,0,0,0,170,0.08470588235294117,0.34411764705882353,0.2813081643702661,0.4,0.058823529411764705,0.4696078431372549,0.3255589811546186,0.5176470588235295
V2-global,v2_global,0.1,0.8716375827789307,0.8065423369407654,0.5,0.05,200,74,94,unweighted,0.26973509788513184,0.2063678354024887,0.7990350764989853,0.97895975359623,600,0,0,0,0,170,0.08470588235294117,0.34411764705882353,0.2813081643702661,0.4,0.058823529411764705,0.4696078431372549,0.3255589811546186,0.5176470588235295
V2-global,v2_global,0.1,0.10460978746414185,0.10460978746414185,1.0,0.001,50,50,50,unweighted,0.6007550954818726,0.4555954933166504,0.8254102251927058,1.096175350928116,600,0,0,0,0,170,0.1376470588235294,0.6186274509803921,0.4499849661441581,0.6588235294117647,0.08882352941176472,0.7745098039215685,0.5033126303395111,0.8235294117647058
