Student_ID,Course_ID,Actual,Predicted,Error
40211228,40BA062,3,3.7941,0.7941
40311221,40BD012,3,2.4945,0.5055
40311119,40BA011,5,2.903,2.097
40411126,40BC011,3,3.3349,0.3349
40311130,409A021,1,2.903,1.903
40211232,40BA102,1,1.9905,0.9905
40211117,40BA121,3,2.903,0.097
40411247,40BA102,2,3.2184,1.2184
40211248,40BA102,4,2.3971,1.6029
40411251,40BA022,2,2.7511,0.7511
40312142,40BA101,4,2.903,1.097
40211229,40BR082,4,2.903,1.097
40211214,40BR242,2,2.3998,0.3998
40311150,40BC011,1,1.4882,0.4882
40411102,40BQ031,5,3.3378,1.6622
40211106,40BA061,5,2.903,2.097
40211230,409Z481,4,3.9125,0.0875
40211117,40BA151,4,2.903,1.097
40211259,40BA022,4,3.39,0.61
40311259,40BA062,1,3.6968,2.6968
40411159,40BA101,3,2.903,0.097
40411115,40BA221,1,2.903,1.903
40211247,409Z481,4,3.0192,0.9808
40311260,40BR022,3,2.8971,0.1029
40411128,40BA011,1,2.903,1.903
40211146,40BA151,4,2.903,1.097
40211101,40B0291,4,2.903,1.097
40211148,40BQ171,4,2.903,1.097
40211244,40BR042,2,3.4042,1.4042
40511101,40BA011,1,2.903,1.903
40205303,40BR242,1,1.6072,0.6072
40211235,40BR042,2,2.6049,0.6049
40211126,40KA393,3,2.903,0.097
40211139,40BQ421,2,2.2081,0.2081
40211206,40BD012,3,3.7992,0.7992
40311204,40BA052,5,3.4691,1.5309
40211233,40BR242,1,2.0101,1.0101
40411125,40BA011,1,2.903,1.903
40311218,40BA132,5,2.9995,2.0005
40211137,40BC011,3,1.784,1.216
40311120,40BA021,1,2.903,1.903
40511107,40BA051,5,2.903,2.097
40311217,40BD032,2,3.3042,1.3042
40311215,40B0292,2,3.5026,1.5026
40311155,40BQ031,1,3.1198,2.1198
40211201,40BR032,3,2.903,0.097
40211134,40BQ401,4,2.903,1.097
40211208,40BA092,1,2.903,1.903
40211247,40BR032,4,2.903,1.097
40311238,40BA122,3,3.4084,0.4084
40211109,40BQ141,2,2.903,0.903
40211130,40BA081,1,2.903,1.903
40311158,40BC071,5,3.2068,1.7932
40211226,40BD032,4,3.9971,0.0029
40211266,40BA081,2,2.903,0.903
40311233,40B0292,3,3.3023,0.3023
40311136,40BA011,1,2.903,1.903
40311132,40BA121,1,2.903,1.903
40211133,40BC011,2,4.4897,2.4897
40211236,40BD012,1,1.0,0.0
40311210,40BA222,3,2.1211,0.8789
40211117,40BQ141,2,2.903,0.903
40311261,40BD032,3,3.9039,0.9039
40211225,40B9561,4,3.0105,0.9895
40211228,40BA132,3,3.7999,0.7999
40211158,40BA011,4,2.903,1.097
40211154,40BA091,1,2.903,1.903
40211137,40BA061,1,2.903,1.903
40211209,40BD032,2,2.3035,0.3035
40411227,40BA222,3,4.1033,1.1033
40311235,40BA222,1,2.5211,1.5211
40211141,40BC061,4,3.904,0.096
40211261,40BR072,5,3.8953,1.1047
40211114,40BA011,1,2.903,1.903
40411126,40BA081,4,2.903,1.097
40211229,40BA012,2,2.0724,0.0724
40311122,40BA081,4,2.903,1.097
40311109,40BA021,1,2.903,1.903
40411205,40BD012,4,2.1885,1.8115
40327247,40BC071,2,2.0,0.0
40311238,40B0292,2,2.9014,0.9014
40311238,40B8932,3,3.0013,0.0013
40411158,40BA051,2,2.903,0.903
40311243,40BA052,4,3.7756,0.2244
40411211,40BA222,2,2.7839,0.7839
40511226,40BA012,4,3.4722,0.5278
40411255,40BA222,4,4.2018,0.2018
40411212,40BD012,3,1.8987,1.1013
40211202,40B9651,4,3.2023,0.7977
40311243,40BD012,4,3.8039,0.1961
40211112,40KT142,5,3.102,1.898
40311204,40BA132,4,3.6017,0.3983
40211224,40BD012,3,1.8104,1.1896
40211113,40BA091,1,2.903,1.903
40411156,40BA021,4,2.903,1.097
40311153,40BA021,5,2.903,2.097
40211266,40BR022,2,2.4891,0.4891
40411219,40BA082,5,3.5885,1.4115
40311223,40BA122,3,2.3058,0.6942
40211116,40BQ051,4,3.3133,0.6867
40211246,40BR122,5,2.903,2.097
40311158,40BQ341,3,3.4234,0.4234
40411201,40BA062,3,3.4588,0.4588
40211126,40IN672,5,3.2985,1.7015
40211249,40B0292,4,3.4925,0.5075
40311108,40BC011,2,3.1395,1.1395
40411156,40BA011,5,2.903,2.097
40411244,40BR472,1,3.1882,2.1882
40211103,40UN050,1,2.1839,1.1839
40411242,40BA102,4,2.3675,1.6325
40411202,40BA052,4,2.7676,1.2324
40211261,40BA152,3,4.1993,1.1993
40511142,40BA051,3,2.903,0.097
40411246,40BA082,3,2.396,0.604
40211104,40UN110,4,2.9836,1.0164
40311236,40BR042,4,4.0988,0.0988
40211223,40BA132,3,4.501,1.501
40211115,40BA011,3,2.903,0.097
40211144,40BQ421,1,1.7079,0.7079
40211203,40BA102,4,4.0026,0.0026
40211257,409U163,1,1.8042,0.8042
40311113,40BA051,1,2.903,1.903
40411236,40BA012,3,3.466,0.466
40411233,40BA102,4,2.593,1.407
40311161,40BA221,1,2.903,1.903
40211153,40BR372,4,3.6988,0.3012
40411108,40BA011,4,2.903,1.097
40211115,40BC061,1,1.503,0.503
40311130,40BQ031,2,2.4549,0.4549
40211102,40B0291,2,2.903,0.903
40211205,40BR032,5,2.903,2.097
40211132,40BA081,2,2.903,0.903
40311257,40BA102,3,4.4987,1.4987
40211110,40BQ321,2,3.2968,1.2968
40411255,40BA102,4,4.2021,0.2021
40411138,40BA051,2,2.903,0.903
40311105,409A011,2,2.903,0.903
40311265,4064243,2,3.3166,1.3166
40311255,40B0292,2,1.5027,0.4973
40211104,40BA131,4,2.903,1.097
40211233,40BA092,2,2.903,0.903
40211133,40BR372,5,4.3961,0.6039
40311138,40BA011,1,2.903,1.903
40311124,40BA021,1,2.903,1.903
40211238,433A021,2,2.903,0.903
40311223,40BA222,1,2.6063,1.6063
40211161,40BA051,2,2.903,0.903
40211137,40BA091,1,2.903,1.903
40311128,40BA121,4,2.903,1.097
40411238,40BA052,2,2.8845,0.8845
40211118,40BC061,5,4.3953,0.6047
40311218,40BR042,4,2.511,1.489
40211235,40BA152,4,2.5959,1.4041
40211138,40BA051,3,2.903,0.097
40311206,40BA062,1,3.2892,2.2892
40211230,40B0292,5,3.9024,1.0976
40411209,40BA222,3,1.7094,1.2906
40311118,40BC051,3,3.712,0.712
40211224,40BR072,3,1.5992,1.4008
40311243,40BA122,4,4.1001,0.1001
40211113,40B0291,2,2.903,0.903
40211235,40BR072,4,2.4047,1.5953
40211161,40BQ331,1,2.3955,1.3955
40311253,40B0292,3,2.6026,0.3974
40211225,40BR372,4,2.7018,1.2982
40311227,40BA082,4,3.2059,0.7941
40211262,40BR082,5,2.903,2.097
40511229,40BA052,2,4.5259,2.5259
40211122,40BQ421,3,3.6091,0.6091
40411119,40BA051,1,2.903,1.903
40211202,40BA132,3,3.0993,0.0993
40211125,40BQ141,4,2.903,1.097
