Student_ID,Course_ID,Actual,Predicted,Error
40211105,40BA151,3,3.7977,0.7977
40211166,40BQ371,1,2.903,1.903
40311237,40BA122,3,2.903,0.097
40311211,40BA132,4,4.1609,0.1609
40211225,40UN070,5,4.6291,0.3709
40511109,40B0291,4,2.903,1.097
40211161,40BQ051,1,2.903,1.903
40211118,40BC051,5,3.2326,1.7674
40411131,40BA021,1,2.903,1.903
40311122,40BA221,3,2.2117,0.7883
40511104,40B0291,5,2.903,2.097
40211126,40BA051,5,3.1852,1.8148
40211211,40BR082,3,4.1719,1.1719
40211262,40BA092,4,2.903,1.097
40211250,40B0292,4,4.4131,0.4131
40311233,40B8932,3,2.903,0.097
40311146,40BC011,1,1.8982,0.8982
40211156,40BA151,3,3.6781,0.6781
40211228,40BA062,3,3.2063,0.2063
40311221,40BD012,3,3.4013,0.4013
40311119,40BA011,5,4.2146,0.7854
40411126,40BC011,3,2.903,0.097
40311130,409A021,1,1.0,0.0
40211232,40BA102,1,2.903,1.903
40211117,40BA121,3,2.903,0.097
40411247,40BA102,2,2.903,0.903
40211248,40BA102,4,3.8995,0.1005
40411251,40BA022,2,2.903,0.903
40312142,40BA101,4,3.0593,0.9407
40211229,40BR082,4,3.7923,0.2077
40211214,40BR242,2,2.7822,0.7822
40311150,40BC011,1,2.903,1.903
40411102,40BQ031,5,2.903,2.097
40211106,40BA061,5,4.587,0.413
40211230,409Z481,4,4.1961,0.1961
40211117,40BA151,4,2.903,1.097
40211259,40BA022,4,3.7423,0.2577
40311259,40BA062,1,2.903,1.903
40411159,40BA101,3,2.903,0.097
40411115,40BA221,1,2.903,1.903
40211247,409Z481,4,4.1699,0.1699
40311260,40BR022,3,2.903,0.097
40411128,40BA011,1,2.903,1.903
40211146,40BA151,4,3.9949,0.0051
40211101,40B0291,4,2.5181,1.4819
40211148,40BQ171,4,3.6923,0.3077
40211244,40BR042,2,3.6094,1.6094
40511101,40BA011,1,2.903,1.903
40205303,40BR242,1,2.5292,1.5292
40211235,40BR042,2,2.7393,0.7393
40211126,40KA393,3,4.5411,1.5411
40211139,40BQ421,2,2.903,0.903
40211206,40BD012,3,3.089,0.089
40311204,40BA052,5,2.903,2.097
40211233,40BR242,1,2.5333,1.5333
